ID;ReportsToID
1;152
2;132
3;152
4;technical email account - not used by employees
5;36
6;163
7;86
8;85
9;85
10;technical email account - not used by employees
11;148
12;104
13;36
14;163
15;31
16;39
17;70
18;163
19;136
20;27
21;technical email account - not used by employees
22;104
23;technical email account - not used by employees
24;technical email account - not used by employees
25;104
26;technical email account - not used by employees
27;86
28;39
29;76
30;77
31;143
32;141
33;76
34;121
35;90
36;86
37;118
38;141
39;136
40;70
41;90
42;70
43;123
44;141
45;77
46;technical email account - not used by employees
47;27
48;154
49;39
50;152
51;former employee account
52;118
53;85
54;141
55;141
56;45
57;27
58;141
59;47
60;156
61;104
62;141
63;104
64;154
65;27
66;70
67;85
68;70
69;86
70;86
71;163
72;27
73;136
74;90
75;former employee account
76;69
77;76
78;104
79;148
80;148
81;39
82;121
83;36
84;159
85;86
86;86
87;former employee account
88;154
89;70
90;69
91;29
92;33
93;former employee account
94;29
95;39
96;36
97;104
98;104
99;136
100;36
101;121
102;36
103;85
104;86
105;104
106;36
107;159
108;29
109;154
110;163
111;former employee account
112;136
113;104
114;104
115;123
116;39
117;143
118;104
119;90
120;85
121;86
122;124
123;136
124;143
125;141
126;47
127;90
128;85
129;90
130;70
131;159
132;152
133;141
134;124
135;36
136;69
137;69
138;148
139;former employee account
140;39
141;136
142;143
143;69
144;19
145;76
146;141
147;33
148;86
149;19
150;162
151;104
152;69
153;69
154;90
155;36
156;86
157;39
158;129
159;136
160;148
161;148
162;69
163;86
164;137
165;29
166;159
167;141
